Textbox25,Textbox26
NPSpecies - The National Park Service biodiversity database.  IRMA Portal version.https://irma.nps.gov/npspecies.  Accessed 7/25/2025 8:30:15 PM,"NatureServe Global (G) and State (S) Conservation Status Rank List - NatureServe. 2025. NatureServe Explorer [web application]. NatureServe, Arlington, Virginia. Available https://explorer.natureserve.org/. (Accessed: July 9, 2025). This information is provided by NatureServe (www.natureserve.org) and its network of natural heritage member programs, a leading source of information about rare and endangered species, and threatened ecosystems."

Textbox46,Category1,CategoryGroup,Textbox51,PreferredCommonNames1,OccwTag,Abundance,NatwTags,NPSTags,ParkTags,RefCount,ObsCount,VouCount,ExternalLinkCount,TESS,StateStatuses,Ozone,GRank,SRank1,Textbox52,Textbox1
,Mammals,Chiroptera/Vespertilionidae,Lasiurus cinereus,"Hoary Bat, Northern Hoary Bat",Present,Uncommon,Native,Migratory,,2,0,1,0,SU,,,G3G4,CA: S4,- Lasiurus cinereus cinereus,Report Species Count: 2086
,Mammals,Chiroptera/Vespertilionidae,Myotis californicus,California myotis,Present,Common,Native,Breeder,,3,9,2,0,SC,,,G5,CA: SNR,- Myotis californicus californicus,Report Species Count: 2086
,Mammals,Chiroptera/Vespertilionidae,Myotis ciliolabrum,small-footed myotis,Present,Rare,Native,Breeder,,2,0,0,0,,,,G5,CA: S3,- Myotis leibii,Report Species Count: 2086
,Mammals,Chiroptera/Vespertilionidae,Myotis evotis,"Long-eared Myotis, Western Long-eared Bat",Present,Uncommon,Native,Breeder,,3,3,4,0,SC,,,G5,"CA: S3,SNR",- Myotis evotis evotis,Report Species Count: 2086
,Mammals,Chiroptera/Vespertilionidae,Myotis lucifugus,little brown myotis,Present,Uncommon,Native,Breeder,,3,1,0,0,UR,,,G3G4,CA: SNR,- ,Report Species Count: 2086
,Mammals,Chiroptera/Vespertilionidae,Myotis thysanodes,Fringed Myotis,Present,Uncommon,Native,Breeder,,2,2,1,0,SC,,,G4,CA: S3,- Myotis thysanodes thysanodes,Report Species Count: 2086
,Mammals,Chiroptera/Vespertilionidae,Myotis volans,Long-legged Myotis,Present,Uncommon,Native,Breeder,,2,0,0,0,SC,,,G4G5,CA: S3,- ,Report Species Count: 2086
,Mammals,Chiroptera/Vespertilionidae,Myotis yumanensis,Yuma Myotis,Present,Common,Native,Breeder,,3,3,6,0,SC,,,G5,CA: S4,- Myotis yumanensis sociabilis,Report Species Count: 2086
,Mammals,Chiroptera/Vespertilionidae,Parastrellus hesperus,canyon bat,Present,Uncommon,Native,Breeder,,2,2,2,0,SC,,,G5,CA: SNR,"- Pipistrellus hesperus, Pipistrellus hesperus hesperus",Report Species Count: 2086
,Mammals,Didelphimorphia/Didelphidae,Didelphis virginiana,Virginia Opossum,Present,Rare,Non-native,,,1,8,0,0,,,,G5,CA: SNA,- ,Report Species Count: 2086
,Mammals,Eulipotyphla/Soricidae,Sorex lyelli,Mount Lyell shrew,Present,Rare,Native,Breeder,,1,0,9,0,RT,CA: SSC,,G3G4,CA: S3S4,- ,Report Species Count: 2086
,Mammals,Eulipotyphla/Soricidae,Sorex monticolus,montane shrew,Present,Common,Native,Breeder,,1,0,0,0,,,,,,- ,Report Species Count: 2086
,Mammals,Eulipotyphla/Soricidae,Sorex palustris,water shrew,Present,Rare,Native,Breeder,,1,5,24,0,,,,G5,,- Sorex palustris navigator,Report Species Count: 2086
,Mammals,Eulipotyphla/Soricidae,Sorex tenellus,Inyo shrew,Present,Uncommon,Native,Resident,,0,0,1,1,,,,G4,CA: SNR,- ,Report Species Count: 2086
,Mammals,Eulipotyphla/Soricidae,Sorex trowbridgii,Trowbridge's Shrew,Present,Rare,Native,Breeder,,1,0,19,0,,,,G5,CA: SNR,- Sorex trowbridgii mariposa,Report Species Count: 2086
,Mammals,Eulipotyphla/Talpidae,Scapanus latimanus,Broad-footed Mole,Present,Common,Native,Breeder,,1,5,12,0,,,,GNR,CA: SNR,- Scapanus latimanus sericatus,Report Species Count: 2086
,Mammals,Lagomorpha/Leporidae,Lepus americanus tahoensis,Sierra Nevada snowshoe hare,Present,Uncommon,Native,,,1,18,0,0,SC,CA: SSC,,G5T3T4Q,CA: S2,- Lepus americanus,Report Species Count: 2086
,Mammals,Lagomorpha/Leporidae,Lepus townsendii townsendii,western white-tailed jackrabbit,Present,Uncommon,Native,Breeder,,1,35,0,0,,CA: SSC,,G5T5,CA: S3?,- Lepus townsendii,Report Species Count: 2086
,Mammals,Lagomorpha/Leporidae,Sylvilagus bachmani,"Brush Rabbit, Riparian Brush Rabbit",Present,Rare,Native,Breeder,,1,5,2,0,SC,,,GNR,CA: SNR,- Sylvilagus bachmani mariposae,Report Species Count: 2086
,Mammals,Lagomorpha/Ochotonidae,Ochotona princeps,pika,Present,Uncommon,Native,Breeder,,1,61,25,0,RT,,,G5,CA: SNR,"- Ochotona princeps muiri, Ochotona schisticeps muiri",Report Species Count: 2086
,Mammals,Rodentia/Aplodontiidae,Aplodontia rufa californica,Sierra Nevada mountain beaver,Present,Uncommon,Native,Breeder,,1,39,8,0,SC,CA: SSC,,G5T3T4,CA: S2S3,- Aplodontia rufa,Report Species Count: 2086
,Mammals,Rodentia/Castoridae,Castor canadensis,beaver,Present,Rare,Non-native,Resident,,1,16,0,0,,,,G5,CA: SNR,- ,Report Species Count: 2086
,Mammals,Rodentia/Cricetidae,Microtus californicus,California meadow mouse,Present,Common,Native,Breeder,,1,0,2,0,,,,G5,CA: SNR,- Microtus californicus mariposae,Report Species Count: 2086
,Mammals,Rodentia/Cricetidae,Microtus longicaudus,long-tailed vole,Present,Common,Native,Breeder,,1,0,340,0,,,,G5,CA: SNR,- Microtus longicaudus sierrae,Report Species Count: 2086
,Mammals,Rodentia/Cricetidae,Microtus montanus,Montane Vole,Present,Common,Native,Breeder,,1,0,241,0,,,,G5,CA: SNR,"- Microtus montanus montanus, Microtus montanus yosemite",Report Species Count: 2086
,Mammals,Rodentia/Cricetidae,Neotoma cinerea,Bushy-tailed Woodrat,Present,Uncommon,Native,Breeder,,1,3,4,0,,,,G5,CA: SNR,- Neotoma cinerea acraia,Report Species Count: 2086
,Mammals,Rodentia/Cricetidae,Neotoma macrotis streatori,big-eared woodrat,Present,Common,Native,"Breeder, Resident",,0,0,3,0,,,,,,- Neotoma macrotis,Report Species Count: 2086
,Mammals,Rodentia/Cricetidae,Peromyscus boylii,"Brush Deermouse, Brush Mouse",Present,Common,Native,Breeder,,1,1,229,0,,,,G5,CA: SNR,- Peromyscus boylii boylii,Report Species Count: 2086
,Mammals,Rodentia/Cricetidae,Peromyscus californicus,California mouse,Present (Adjacent),Uncommon,Native,,,1,0,0,0,,,,G5,CA: SNR,- ,Report Species Count: 2086
,Mammals,Rodentia/Cricetidae,Peromyscus maniculatus,"Deer Mouse, North American Deermouse",Present,Abundant,Native,Breeder,,1,13,671,0,,,,G5,CA: SNR,"- Peromyscus maniculatus gambelii, Peromyscus maniculatus sonoriensis",Report Species Count: 2086
,Mammals,Rodentia/Cricetidae,Peromyscus truei,"Piñon Deermouse, piñon mouse, Pinyon Mouse",Present,Uncommon,Native,Breeder,,1,0,31,0,,,,G5,CA: SNR,"- Peromyscus truei gilberti, Peromyscus truei truei",Report Species Count: 2086
,Mammals,Rodentia/Cricetidae,Phenacomys intermedius,"Heather Vole, Western Heather Vole",Present,Rare,Native,Breeder,,1,5,8,0,,,,G5,CA: SNR,- Phenacomys intermedius celsus,Report Species Count: 2086
,Mammals,Rodentia/Cricetidae,Reithrodontomys megalotis,Western Harvest Mouse,Present,Rare,Native,Breeder,,1,0,3,0,,,,G5,CA: SNR,- Reithrodontomys megalotis longicaudus,Report Species Count: 2086
,Mammals,Rodentia/Dipodidae,Zapus princeps,Western Jumping Mouse,Present,Common,Native,Breeder,,1,1,86,0,,,,GNR,,"- Zapus princeps alleni, Zapus princeps pacificus",Report Species Count: 2086
,Mammals,Rodentia/Erethizontidae,Erethizon dorsatum,porcupine,Present,Uncommon,Native,Breeder,,1,58,6,0,,,,G5,CA: S3,- Erethizon dorsatum epixanthum,Report Species Count: 2086
,Mammals,Rodentia/Geomyidae,Thomomys bottae,Botta's Pocket Gopher,Present,Common,Native,Breeder,,1,5,52,0,,,,G5,CA: SNR,"- Thomomys bottae awahnee, Thomomys bottae mewa",Report Species Count: 2086
,Mammals,Rodentia/Geomyidae,Thomomys monticola,Mountain Pocket Gopher,Present,Common,Native,Breeder,,1,4,111,0,,,,,,- Thomomys monticola monticola,Report Species Count: 2086
,Mammals,Rodentia/Heteromyidae,Chaetodipus californicus,California pocket mouse,Present,Uncommon,Native,Breeder,,0,0,2,1,,,,G5,CA: SNR,"- Chaetodipus californicus dispar, Perognathus californicus dipar",Report Species Count: 2086
,Mammals,Rodentia/Muridae,Mus musculus,House Mouse,Present,Uncommon,Non-native,Breeder,,1,0,0,0,,,,G5,CA: SNA,- ,Report Species Count: 2086
,Mammals,Rodentia/Muridae,Rattus rattus,black rat,Present,Rare,Non-native,,,1,0,1,0,,,,G5,,- ,Report Species Count: 2086
,Mammals,Rodentia/Sciuridae,Callospermophilus lateralis,golden-mantled ground squirrel,Present,Common,Native,Breeder,,1,39,105,0,,,,G5,CA: SNR,"- Callospermophilus chrysodeirus chrysodeirus, Spermophilus lateralis, Spermophilus lateralis chrysodeirus",Report Species Count: 2086
,Mammals,Rodentia/Sciuridae,Glaucomys sabrinus,Northern Flying Squirrel,Present,Common,Native,Breeder,,1,24,11,0,,,,G5,,- Glaucomys sabrinus lascivus,Report Species Count: 2086
,Mammals,Rodentia/Sciuridae,Marmota flaviventris,Yellow-bellied Marmot,Present,Common,Native,Breeder,,1,72,10,0,,,,G5,CA: SNR,- Marmota flaviventris sierrae,Report Species Count: 2086
,Mammals,Rodentia/Sciuridae,Otospermophilus beecheyi,California ground squirrel,Present,Common,Native,Breeder,,1,53,30,0,,,,GNR,CA: SNR,"- Spermophilus beecheyi, Spermophilus beecheyi fisheri, Spermophilus beecheyi sierrae",Report Species Count: 2086
,Mammals,Rodentia/Sciuridae,Sciurus griseus,Western Gray Squirrel,Present,Common,Native,Breeder,,1,45,26,0,RT,,,G5,CA: SNR,"- Sciurus griseus california, Sciurus griseus griseus",Report Species Count: 2086
,Mammals,Rodentia/Sciuridae,Tamias alpinus,Alpine Chipmunk,Present,Uncommon,Native,Breeder,,1,15,41,0,,,,,,- Eutamias alpinus,Report Species Count: 2086
,Mammals,Rodentia/Sciuridae,Tamias amoenus,yellow-pine chipmunk,Present (Adjacent),Occasional,Native,,,1,0,1,0,,,,,,- Eutamias amoenus monoensis,Report Species Count: 2086
,Mammals,Rodentia/Sciuridae,Tamias merriami,Merriam's chipmunk,Present,Uncommon,Native,,,1,8,3,0,,,,,,- Eutamias merriami merriami,Report Species Count: 2086
,Mammals,Rodentia/Sciuridae,Tamias minimus,least chipmunk,Present (Adjacent),Occasional,Native,,,1,0,3,0,,,,,,"- Eutamias minimus pictus, Eutamias minimus scrutator",Report Species Count: 2086
